STOCK_SYMBOL,DATE_TIME,OPEN_PRICE,CLOSE_PRICE
AAPL,2025-04-14 09:30:00,211.4400,211.9800
AAPL,2025-04-14 09:31:00,212.0000,210.5399
AAPL,2025-04-14 09:32:00,210.4900,209.3302
AAPL,2025-04-14 09:33:00,209.3550,209.0720
AAPL,2025-04-14 09:34:00,209.0300,208.6302
AAPL,2025-04-14 09:35:00,208.6800,208.6600
AAPL,2025-04-14 09:36:00,208.6700,208.8400
AAPL,2025-04-14 09:37:00,208.8500,208.2250
AAPL,2025-04-14 09:38:00,208.2250,208.7700
AAPL,2025-04-14 09:39:00,208.7800,208.5100
AAPL,2025-04-14 09:40:00,208.5300,206.7400
AAPL,2025-04-14 09:41:00,206.7600,206.5850
AAPL,2025-04-14 09:42:00,206.5800,206.7000
AAPL,2025-04-14 09:43:00,206.7300,206.2107
AAPL,2025-04-14 09:44:00,206.2100,207.0296
AAPL,2025-04-14 09:45:00,207.0350,207.0800
AAPL,2025-04-14 09:46:00,207.0800,206.9900
AAPL,2025-04-14 09:47:00,206.9950,207.1100
AAPL,2025-04-14 09:48:00,207.1150,207.7175
AAPL,2025-04-14 09:49:00,207.6756,207.8400
AAPL,2025-04-14 09:50:00,207.8150,207.4050
AAPL,2025-04-14 09:51:00,207.3950,206.8500
AAPL,2025-04-14 09:52:00,206.8380,206.5600
AAPL,2025-04-14 09:53:00,206.5400,207.0100
AAPL,2025-04-14 09:54:00,206.9900,207.1850
AAPL,2025-04-14 09:55:00,207.2000,207.3700
AAPL,2025-04-14 09:56:00,207.3900,206.8319
AAPL,2025-04-14 09:57:00,206.8000,207.1550
AAPL,2025-04-14 09:58:00,207.1800,207.0000
AAPL,2025-04-14 09:59:00,206.9701,206.7600
AAPL,2025-04-14 10:00:00,206.7950,206.4349
AAPL,2025-04-14 10:01:00,206.4337,206.8550
AAPL,2025-04-14 10:02:00,206.8001,207.0895
AAPL,2025-04-14 10:03:00,207.0700,207.0676
AAPL,2025-04-14 10:04:00,207.0400,206.9600
AAPL,2025-04-14 10:05:00,206.9750,207.6300
AAPL,2025-04-14 10:06:00,207.6350,206.9509
AAPL,2025-04-14 10:07:00,206.9850,206.8400
AAPL,2025-04-14 10:08:00,206.9200,206.6700
AAPL,2025-04-14 10:09:00,206.6899,206.2500
AAPL,2025-04-14 10:10:00,206.2600,205.5410
AAPL,2025-04-14 10:11:00,205.5200,205.2002
AAPL,2025-04-14 10:12:00,205.2100,205.4200
AAPL,2025-04-14 10:13:00,205.4100,205.5550
AAPL,2025-04-14 10:14:00,205.5900,205.2150
AAPL,2025-04-14 10:15:00,205.2400,205.2650
AAPL,2025-04-14 10:16:00,205.2700,205.4050
AAPL,2025-04-14 10:17:00,205.3850,204.7000
AAPL,2025-04-14 10:18:00,204.7050,205.1250
AAPL,2025-04-14 10:19:00,205.1400,205.5500
AAPL,2025-04-14 10:20:00,205.5317,205.3500
AAPL,2025-04-14 10:21:00,205.3200,205.3700
AAPL,2025-04-14 10:22:00,205.3700,205.0750
AAPL,2025-04-14 10:23:00,205.0500,204.9600
AAPL,2025-04-14 10:24:00,204.9350,205.0000
AAPL,2025-04-14 10:25:00,205.0300,205.1650
AAPL,2025-04-14 10:26:00,205.1650,205.3515
AAPL,2025-04-14 10:27:00,205.3540,205.1316
AAPL,2025-04-14 10:28:00,205.1150,205.1450
AAPL,2025-04-14 10:29:00,205.1366,204.7500
AAPL,2025-04-14 10:30:00,204.8000,204.9600
AAPL,2025-04-14 10:31:00,204.9400,205.2175
AAPL,2025-04-14 10:32:00,205.2250,204.9300
AAPL,2025-04-14 10:33:00,204.9500,205.0550
AAPL,2025-04-14 10:34:00,205.0400,204.9450
AAPL,2025-04-14 10:35:00,204.9500,205.3800
AAPL,2025-04-14 10:36:00,205.4000,205.6100
AAPL,2025-04-14 10:37:00,205.6300,205.5900
AAPL,2025-04-14 10:38:00,205.6100,205.5550
AAPL,2025-04-14 10:39:00,205.5600,205.3763
AAPL,2025-04-14 10:40:00,205.4000,205.2900
AAPL,2025-04-14 10:41:00,205.2700,205.7897
AAPL,2025-04-14 10:42:00,205.8000,206.1050
AAPL,2025-04-14 10:43:00,206.1050,205.8000
AAPL,2025-04-14 10:44:00,205.8150,205.6700
AAPL,2025-04-14 10:45:00,205.6850,205.7910
AAPL,2025-04-14 10:46:00,205.8050,205.5250
AAPL,2025-04-14 10:47:00,205.5444,205.8350
AAPL,2025-04-14 10:48:00,205.8450,205.9600
AAPL,2025-04-14 10:49:00,205.9700,205.8342
AAPL,2025-04-14 10:50:00,205.8600,205.7200
AAPL,2025-04-14 10:51:00,205.7150,205.7500
AAPL,2025-04-14 10:52:00,205.7519,205.5500
AAPL,2025-04-14 10:53:00,205.5300,205.5000
AAPL,2025-04-14 10:54:00,205.4950,205.6050
AAPL,2025-04-14 10:55:00,205.6050,205.4204
AAPL,2025-04-14 10:56:00,205.4200,205.0050
AAPL,2025-04-14 10:57:00,204.9925,205.1261
AAPL,2025-04-14 10:58:00,205.1795,205.1350
AAPL,2025-04-14 10:59:00,205.1480,205.2446
AAPL,2025-04-14 11:00:00,205.2200,205.1900
AAPL,2025-04-14 11:01:00,205.1700,205.3350
AAPL,2025-04-14 11:02:00,205.3200,205.2250
AAPL,2025-04-14 11:03:00,205.2250,204.8400
AAPL,2025-04-14 11:04:00,204.8201,204.8050
AAPL,2025-04-14 11:05:00,204.8050,204.6800
AAPL,2025-04-14 11:06:00,204.6700,204.2600
AAPL,2025-04-14 11:07:00,204.2500,204.3592
AAPL,2025-04-14 11:08:00,204.3550,204.2700
AAPL,2025-04-14 11:09:00,204.2650,204.3099
AAPL,2025-04-14 11:10:00,204.2700,204.6891
AAPL,2025-04-14 11:11:00,204.6800,204.9099
AAPL,2025-04-14 11:12:00,204.9067,204.8800
AAPL,2025-04-14 11:13:00,204.8900,204.8700
AAPL,2025-04-14 11:14:00,204.8750,204.7800
