STOCK_SYMBOL,DATE_TIME,OPEN_PRICE,CLOSE_PRICE
MSFT,2025-01-14 09:30:00,417.8100,418.5300
MSFT,2025-01-14 09:30:30,418.5277,417.1500
MSFT,2025-01-14 09:31:00,417.2600,417.0200
MSFT,2025-01-14 09:31:30,417.0050,416.8400
MSFT,2025-01-14 09:32:00,417.0100,417.6900
MSFT,2025-01-14 09:32:30,417.5600,417.7600
MSFT,2025-01-14 09:33:00,417.9000,418.1200
MSFT,2025-01-14 09:33:30,418.1100,418.4700
MSFT,2025-01-14 09:34:00,418.3700,418.5000
MSFT,2025-01-14 09:34:30,418.4400,418.3900
MSFT,2025-01-14 09:35:00,418.3200,418.4000
MSFT,2025-01-14 09:35:30,418.5500,418.5600
MSFT,2025-01-14 09:36:00,418.5200,418.8350
MSFT,2025-01-14 09:36:30,418.7501,419.4243
MSFT,2025-01-14 09:37:00,419.3650,419.5525
MSFT,2025-01-14 09:37:30,419.6500,419.0000
MSFT,2025-01-14 09:38:00,419.0000,419.0400
MSFT,2025-01-14 09:38:30,419.0500,419.0500
MSFT,2025-01-14 09:39:00,419.1268,418.5300
MSFT,2025-01-14 09:39:30,418.6000,418.5200
MSFT,2025-01-14 09:40:00,418.5200,418.1100
MSFT,2025-01-14 09:40:30,418.0900,418.3099
MSFT,2025-01-14 09:41:00,418.2350,418.3427
MSFT,2025-01-14 09:41:30,418.3900,418.3200
MSFT,2025-01-14 09:42:00,418.3450,418.7100
MSFT,2025-01-14 09:42:30,418.7300,418.5200
MSFT,2025-01-14 09:43:00,418.5050,418.2250
MSFT,2025-01-14 09:43:30,418.2250,418.1100
MSFT,2025-01-14 09:44:00,418.2100,418.2200
MSFT,2025-01-14 09:44:30,418.1500,418.5650
MSFT,2025-01-14 09:45:00,418.5700,418.5400
MSFT,2025-01-14 09:45:30,418.5400,418.5900
MSFT,2025-01-14 09:46:00,418.4500,418.6500
MSFT,2025-01-14 09:46:30,418.6500,418.9425
MSFT,2025-01-14 09:47:00,418.9600,418.7900
MSFT,2025-01-14 09:47:30,418.7900,418.4400
MSFT,2025-01-14 09:48:00,418.4200,418.2200
MSFT,2025-01-14 09:48:30,418.2750,418.5800
MSFT,2025-01-14 09:49:00,418.5750,418.5500
MSFT,2025-01-14 09:49:30,418.5400,418.3300
MSFT,2025-01-14 09:50:00,418.3500,418.1337
MSFT,2025-01-14 09:50:30,418.0700,418.1100
MSFT,2025-01-14 09:51:00,418.1000,417.8300
MSFT,2025-01-14 09:51:30,417.8650,418.1100
MSFT,2025-01-14 09:52:00,417.9600,417.9000
MSFT,2025-01-14 09:52:30,417.9000,417.6550
MSFT,2025-01-14 09:53:00,417.6500,417.4501
MSFT,2025-01-14 09:53:30,417.5400,417.0900
MSFT,2025-01-14 09:54:00,417.0600,416.9306
MSFT,2025-01-14 09:54:30,417.0500,417.0000
MSFT,2025-01-14 09:55:00,417.0600,417.3399
MSFT,2025-01-14 09:55:30,417.2850,417.6950
MSFT,2025-01-14 09:56:00,417.6950,417.4182
MSFT,2025-01-14 09:56:30,417.4400,417.6300
MSFT,2025-01-14 09:57:00,417.5912,417.2800
MSFT,2025-01-14 09:57:30,417.2800,417.1150
MSFT,2025-01-14 09:58:00,417.0800,417.1150
MSFT,2025-01-14 09:58:30,417.1100,417.0000
MSFT,2025-01-14 09:59:00,416.9200,416.8800
MSFT,2025-01-14 09:59:30,416.9000,416.9850
MSFT,2025-01-14 10:00:00,417.0150,417.0201
MSFT,2025-01-14 10:00:30,417.0300,417.2200
MSFT,2025-01-14 10:01:00,417.2300,417.2700
MSFT,2025-01-14 10:01:30,417.4000,417.0250
MSFT,2025-01-14 10:02:00,417.1200,417.0600
MSFT,2025-01-14 10:02:30,417.1250,417.2450
MSFT,2025-01-14 10:03:00,417.2450,417.3800
MSFT,2025-01-14 10:03:30,417.3700,417.2850
MSFT,2025-01-14 10:04:00,417.2950,417.2166
MSFT,2025-01-14 10:04:30,417.1200,417.0950
MSFT,2025-01-14 10:05:00,417.0400,417.1200
MSFT,2025-01-14 10:05:30,417.1984,417.2900
MSFT,2025-01-14 10:06:00,417.3050,417.4000
MSFT,2025-01-14 10:06:30,417.3600,417.4400
MSFT,2025-01-14 10:07:00,417.4500,417.2299
MSFT,2025-01-14 10:07:30,417.1600,417.4500
MSFT,2025-01-14 10:08:00,417.4700,417.8050
MSFT,2025-01-14 10:08:30,417.8050,417.8050
MSFT,2025-01-14 10:09:00,417.7950,417.9500
MSFT,2025-01-14 10:09:30,417.8950,417.8100
MSFT,2025-01-14 10:10:00,417.8300,417.8550
MSFT,2025-01-14 10:10:30,417.8550,418.0800
MSFT,2025-01-14 10:11:00,418.0800,417.9300
MSFT,2025-01-14 10:11:30,417.9424,418.2550
MSFT,2025-01-14 10:12:00,418.2100,418.3399
MSFT,2025-01-14 10:12:30,418.2900,418.2300
MSFT,2025-01-14 10:13:00,418.2750,418.3800
MSFT,2025-01-14 10:13:30,418.3900,417.5000
MSFT,2025-01-14 10:14:00,417.5000,417.5400
MSFT,2025-01-14 10:14:30,417.5450,417.6000
MSFT,2025-01-14 10:15:00,417.6000,417.6300
MSFT,2025-01-14 10:15:30,417.6680,417.6950
MSFT,2025-01-14 10:16:00,417.7500,418.2200
MSFT,2025-01-14 10:16:30,418.2300,418.1800
MSFT,2025-01-14 10:17:00,418.1200,418.0500
MSFT,2025-01-14 10:17:30,418.0550,418.1364
MSFT,2025-01-14 10:18:00,418.0708,418.0000
MSFT,2025-01-14 10:18:30,418.0471,418.0950
MSFT,2025-01-14 10:19:00,418.0850,418.1800
MSFT,2025-01-14 10:19:30,418.1800,417.7700
MSFT,2025-01-14 10:20:00,417.8000,417.6700
MSFT,2025-01-14 10:20:30,417.6900,417.7700
MSFT,2025-01-14 10:21:00,417.7687,417.7500
MSFT,2025-01-14 10:21:30,417.6800,417.8290
MSFT,2025-01-14 10:22:00,417.8800,417.9900
MSFT,2025-01-14 10:22:30,418.0600,417.4200
MSFT,2025-01-14 10:23:00,417.4200,417.4936
MSFT,2025-01-14 10:23:30,417.5800,417.6700
MSFT,2025-01-14 10:24:00,417.6600,417.7000
MSFT,2025-01-14 10:24:30,417.6550,417.5000
MSFT,2025-01-14 10:25:00,417.5350,417.5700
MSFT,2025-01-14 10:25:30,417.7813,417.6200
MSFT,2025-01-14 10:26:00,417.6150,417.8225
MSFT,2025-01-14 10:26:30,417.8000,417.5000
MSFT,2025-01-14 10:27:00,417.5000,417.4500
MSFT,2025-01-14 10:27:30,417.4400,417.1200
MSFT,2025-01-14 10:28:00,417.1000,417.2500
MSFT,2025-01-14 10:28:30,417.2400,416.8600
MSFT,2025-01-14 10:29:00,416.8100,416.8825
MSFT,2025-01-14 10:29:30,416.9100,416.9101
MSFT,2025-01-14 10:30:00,416.9900,417.0475
MSFT,2025-01-14 10:30:30,417.0200,416.7950
MSFT,2025-01-14 10:31:00,416.7950,416.9005
MSFT,2025-01-14 10:31:30,416.9500,417.0000
MSFT,2025-01-14 10:32:00,417.0000,416.6750
MSFT,2025-01-14 10:32:30,416.6850,416.6300
MSFT,2025-01-14 10:33:00,416.6000,416.6060
MSFT,2025-01-14 10:33:30,416.6900,416.9800
MSFT,2025-01-14 10:34:00,416.8800,416.7900
MSFT,2025-01-14 10:34:30,416.7275,416.6150
MSFT,2025-01-14 10:35:00,416.6400,416.7500
MSFT,2025-01-14 10:35:30,416.7300,416.7250
MSFT,2025-01-14 10:36:00,416.7644,416.5600
MSFT,2025-01-14 10:36:30,416.5400,416.4189
MSFT,2025-01-14 10:37:00,416.4000,415.9700
MSFT,2025-01-14 10:37:30,415.9800,416.1880
MSFT,2025-01-14 10:38:00,416.1958,416.1550
MSFT,2025-01-14 10:38:30,416.1100,416.2100
MSFT,2025-01-14 10:39:00,416.2800,416.1900
MSFT,2025-01-14 10:39:30,416.2000,416.1900
MSFT,2025-01-14 10:40:00,416.1600,416.4525
MSFT,2025-01-14 10:40:30,416.4685,416.6900
MSFT,2025-01-14 10:41:00,416.7000,416.7600
MSFT,2025-01-14 10:41:30,416.7250,417.0336
MSFT,2025-01-14 10:42:00,417.1000,417.1420
MSFT,2025-01-14 10:42:30,417.1600,417.3700
MSFT,2025-01-14 10:43:00,417.3200,417.3900
MSFT,2025-01-14 10:43:30,417.4500,417.6601
MSFT,2025-01-14 10:44:00,417.7599,417.9407
MSFT,2025-01-14 10:44:30,417.9100,417.8450
MSFT,2025-01-14 10:45:00,417.8450,417.7950
MSFT,2025-01-14 10:45:30,417.7804,417.1300
MSFT,2025-01-14 10:46:00,417.1550,417.0300
MSFT,2025-01-14 10:46:30,417.0600,417.1400
MSFT,2025-01-14 10:47:00,417.2100,417.0775
MSFT,2025-01-14 10:47:30,417.1114,417.0869
MSFT,2025-01-14 10:48:00,417.0000,416.8400
MSFT,2025-01-14 10:48:30,416.9100,416.9700
MSFT,2025-01-14 10:49:00,416.9100,416.8850
MSFT,2025-01-14 10:49:30,416.9100,416.9000
MSFT,2025-01-14 10:50:00,416.9000,416.7099
MSFT,2025-01-14 10:50:30,416.5600,416.8100
MSFT,2025-01-14 10:51:00,416.8300,416.2924
MSFT,2025-01-14 10:51:30,416.3600,416.6600
MSFT,2025-01-14 10:52:00,416.6000,416.7000
MSFT,2025-01-14 10:52:30,416.6600,416.5400
MSFT,2025-01-14 10:53:00,416.4350,416.5100
MSFT,2025-01-14 10:53:30,416.5150,416.6550
MSFT,2025-01-14 10:54:00,416.6700,416.6100
MSFT,2025-01-14 10:54:30,416.6550,416.8350
MSFT,2025-01-14 10:55:00,416.8000,416.7400
MSFT,2025-01-14 10:55:30,416.5800,416.3300
MSFT,2025-01-14 10:56:00,416.4588,416.1900
MSFT,2025-01-14 10:56:30,416.1900,416.3900
MSFT,2025-01-14 10:57:00,416.3999,416.4400
MSFT,2025-01-14 10:57:30,416.4900,416.3100
MSFT,2025-01-14 10:58:00,416.3500,416.3200
MSFT,2025-01-14 10:58:30,416.2500,416.4200
MSFT,2025-01-14 10:59:00,416.4200,416.2900
MSFT,2025-01-14 10:59:30,416.2700,416.0750
MSFT,2025-01-14 11:00:00,416.1350,416.1900
MSFT,2025-01-14 11:00:30,416.1200,416.2650
MSFT,2025-01-14 11:01:00,416.1800,416.4400
MSFT,2025-01-14 11:01:30,416.4896,416.4600
MSFT,2025-01-14 11:02:00,416.5800,416.4200
MSFT,2025-01-14 11:02:30,416.4800,416.2125
MSFT,2025-01-14 11:03:00,416.1533,415.8900
MSFT,2025-01-14 11:03:30,415.8800,415.9350
MSFT,2025-01-14 11:04:00,415.9350,415.8800
MSFT,2025-01-14 11:04:30,415.8709,415.8200
