STOCK_SYMBOL,DATE_TIME,OPEN_PRICE,CLOSE_PRICE
META,2025-04-14 09:30:00,556.1750,556.0000
META,2025-04-14 09:31:00,556.5100,554.5700
META,2025-04-14 09:32:00,554.5100,555.9241
META,2025-04-14 09:33:00,555.7600,553.2550
META,2025-04-14 09:34:00,553.2350,554.1600
META,2025-04-14 09:35:00,554.0150,551.8000
META,2025-04-14 09:36:00,551.8750,548.8175
META,2025-04-14 09:37:00,548.9590,548.5100
META,2025-04-14 09:38:00,548.4900,548.1600
META,2025-04-14 09:39:00,548.4400,545.8000
META,2025-04-14 09:40:00,545.9350,544.4000
META,2025-04-14 09:41:00,544.4750,542.9350
META,2025-04-14 09:42:00,543.0000,542.7800
META,2025-04-14 09:43:00,542.6400,540.1550
META,2025-04-14 09:44:00,540.1550,542.1700
META,2025-04-14 09:45:00,542.0400,545.3571
META,2025-04-14 09:46:00,545.0950,542.6000
META,2025-04-14 09:47:00,542.6950,542.1110
META,2025-04-14 09:48:00,542.1250,543.2900
META,2025-04-14 09:49:00,543.8100,543.8934
META,2025-04-14 09:50:00,543.9950,544.8610
META,2025-04-14 09:51:00,545.0800,544.4099
META,2025-04-14 09:52:00,544.1600,544.2000
META,2025-04-14 09:53:00,544.0000,546.1000
META,2025-04-14 09:54:00,546.1000,545.7400
META,2025-04-14 09:55:00,545.7400,545.9000
META,2025-04-14 09:56:00,546.0599,544.5744
META,2025-04-14 09:57:00,544.5450,544.5100
META,2025-04-14 09:58:00,544.5950,544.7000
META,2025-04-14 09:59:00,544.9800,543.7750
META,2025-04-14 10:00:00,544.0000,544.2400
META,2025-04-14 10:01:00,544.1200,544.6900
META,2025-04-14 10:02:00,544.8750,546.7700
META,2025-04-14 10:03:00,546.7900,547.6550
META,2025-04-14 10:04:00,547.7100,548.1405
META,2025-04-14 10:05:00,548.0300,549.4600
META,2025-04-14 10:06:00,549.4550,548.3350
META,2025-04-14 10:07:00,548.0600,549.1400
META,2025-04-14 10:08:00,548.8590,548.4350
META,2025-04-14 10:09:00,548.6700,547.0650
META,2025-04-14 10:10:00,547.1200,546.7750
META,2025-04-14 10:11:00,546.8375,546.2300
META,2025-04-14 10:12:00,546.2500,546.3900
META,2025-04-14 10:13:00,546.5800,547.0500
META,2025-04-14 10:14:00,547.0800,546.5300
META,2025-04-14 10:15:00,546.4000,545.3000
META,2025-04-14 10:16:00,545.2550,545.1870
META,2025-04-14 10:17:00,545.2000,544.1200
META,2025-04-14 10:18:00,544.0700,545.4800
META,2025-04-14 10:19:00,545.4800,546.2400
META,2025-04-14 10:20:00,546.3400,546.6059
META,2025-04-14 10:21:00,546.5100,546.2900
META,2025-04-14 10:22:00,546.4500,545.8000
META,2025-04-14 10:23:00,545.8700,545.5450
META,2025-04-14 10:24:00,545.4900,546.0700
META,2025-04-14 10:25:00,546.2400,545.9878
META,2025-04-14 10:26:00,545.6650,546.1600
META,2025-04-14 10:27:00,546.3250,546.0900
META,2025-04-14 10:28:00,545.9850,546.5400
META,2025-04-14 10:29:00,546.5300,545.8300
META,2025-04-14 10:30:00,545.8300,545.3900
META,2025-04-14 10:31:00,545.3800,545.9100
META,2025-04-14 10:32:00,545.8400,545.6850
META,2025-04-14 10:33:00,545.6600,546.3800
META,2025-04-14 10:34:00,546.2400,545.9300
META,2025-04-14 10:35:00,545.9300,545.7700
META,2025-04-14 10:36:00,545.8100,545.7050
META,2025-04-14 10:37:00,545.7050,545.0500
META,2025-04-14 10:38:00,545.0900,545.2050
META,2025-04-14 10:39:00,545.2150,545.3150
META,2025-04-14 10:40:00,545.3050,544.7800
META,2025-04-14 10:41:00,544.6100,545.8121
META,2025-04-14 10:42:00,545.9800,545.4600
META,2025-04-14 10:43:00,545.1900,545.0000
META,2025-04-14 10:44:00,545.0300,544.9100
META,2025-04-14 10:45:00,544.9100,544.5800
META,2025-04-14 10:46:00,544.4250,543.3100
META,2025-04-14 10:47:00,543.3200,545.1250
META,2025-04-14 10:48:00,545.0000,544.7250
META,2025-04-14 10:49:00,544.8100,544.8117
META,2025-04-14 10:50:00,544.8440,544.9700
META,2025-04-14 10:51:00,544.9800,545.0800
META,2025-04-14 10:52:00,545.0800,545.4550
META,2025-04-14 10:53:00,545.6200,545.2710
META,2025-04-14 10:54:00,545.2900,545.3550
META,2025-04-14 10:55:00,545.3300,544.1300
META,2025-04-14 10:56:00,544.0300,542.4200
META,2025-04-14 10:57:00,542.4000,542.6200
META,2025-04-14 10:58:00,542.5200,542.3700
META,2025-04-14 10:59:00,542.5350,542.2600
META,2025-04-14 11:00:00,542.1350,541.7750
META,2025-04-14 11:01:00,541.6100,542.1750
META,2025-04-14 11:02:00,542.0900,541.5000
META,2025-04-14 11:03:00,541.6030,540.6850
META,2025-04-14 11:04:00,540.6850,540.4862
META,2025-04-14 11:05:00,540.5945,539.8750
META,2025-04-14 11:06:00,539.8800,539.9900
META,2025-04-14 11:07:00,540.0800,539.0600
META,2025-04-14 11:08:00,539.0600,539.0400
META,2025-04-14 11:09:00,538.8300,538.9700
META,2025-04-14 11:10:00,538.8600,539.3618
META,2025-04-14 11:11:00,539.3750,539.0200
META,2025-04-14 11:12:00,539.0400,538.4700
META,2025-04-14 11:13:00,538.4700,537.9900
META,2025-04-14 11:14:00,537.7450,537.7900
META,2025-04-14 11:15:00,537.9700,538.5800
META,2025-04-14 11:16:00,538.5550,538.5211
META,2025-04-14 11:17:00,538.3400,538.6300
META,2025-04-14 11:18:00,538.5300,539.5833
META,2025-04-14 11:19:00,539.4556,539.6799
META,2025-04-14 11:20:00,539.5900,539.2900
META,2025-04-14 11:21:00,539.2300,539.5300
META,2025-04-14 11:22:00,539.5300,539.7750
META,2025-04-14 11:23:00,539.9000,539.2000
META,2025-04-14 11:24:00,539.1125,539.1850
META,2025-04-14 11:25:00,539.1900,538.6600
META,2025-04-14 11:26:00,538.7100,538.1600
META,2025-04-14 11:27:00,538.3400,537.3001
META,2025-04-14 11:28:00,537.5777,537.2400
META,2025-04-14 11:29:00,537.2400,536.6600
META,2025-04-14 11:30:00,536.6600,537.1300
META,2025-04-14 11:31:00,537.2444,538.6400
META,2025-04-14 11:32:00,538.6900,539.1600
META,2025-04-14 11:33:00,539.2800,539.2300
META,2025-04-14 11:34:00,539.3000,538.9650
META,2025-04-14 11:35:00,538.9800,538.3900
META,2025-04-14 11:36:00,538.4900,538.3550
META,2025-04-14 11:37:00,538.3550,537.4000
META,2025-04-14 11:38:00,537.4111,536.6400
META,2025-04-14 11:39:00,536.6400,536.9000
META,2025-04-14 11:40:00,536.7500,536.4600
META,2025-04-14 11:41:00,536.3926,536.7500
META,2025-04-14 11:42:00,536.6500,536.6800
META,2025-04-14 11:43:00,536.6600,537.2000
META,2025-04-14 11:44:00,537.3128,537.8550
META,2025-04-14 11:45:00,537.9000,536.1500
META,2025-04-14 11:46:00,536.0150,535.0000
META,2025-04-14 11:47:00,534.8800,534.7500
META,2025-04-14 11:48:00,534.7500,533.8050
META,2025-04-14 11:49:00,533.8550,534.0000
META,2025-04-14 11:50:00,533.7916,533.8700
META,2025-04-14 11:51:00,533.7300,533.3850
META,2025-04-14 11:52:00,533.4300,532.9000
META,2025-04-14 11:53:00,533.0150,533.7550
META,2025-04-14 11:54:00,533.7850,533.9800
META,2025-04-14 11:55:00,534.0000,534.8700
META,2025-04-14 11:56:00,534.7400,534.6900
META,2025-04-14 11:57:00,534.6700,534.9277
META,2025-04-14 11:58:00,535.0000,534.5900
META,2025-04-14 11:59:00,534.1200,533.5950
META,2025-04-14 12:00:00,533.4000,534.1550
META,2025-04-14 12:01:00,534.4300,535.1900
META,2025-04-14 12:02:00,535.2000,534.8100
META,2025-04-14 12:03:00,534.8450,533.9850
META,2025-04-14 12:04:00,533.9850,535.1050
META,2025-04-14 12:05:00,535.1000,534.9000
META,2025-04-14 12:06:00,534.9200,534.4600
META,2025-04-14 12:07:00,534.5700,534.4200
META,2025-04-14 12:08:00,534.5068,533.8300
META,2025-04-14 12:09:00,533.8266,533.5250
META,2025-04-14 12:10:00,533.5250,532.6500
META,2025-04-14 12:11:00,532.6100,531.1400
META,2025-04-14 12:12:00,530.9795,530.7304
META,2025-04-14 12:13:00,530.8600,531.2850
META,2025-04-14 12:14:00,531.2909,531.7700
META,2025-04-14 12:15:00,531.5300,531.8900
META,2025-04-14 12:16:00,531.9850,532.4600
META,2025-04-14 12:17:00,532.5250,532.2000
META,2025-04-14 12:18:00,532.0000,531.9300
META,2025-04-14 12:19:00,532.0800,533.4100
META,2025-04-14 12:20:00,533.1705,532.3850
META,2025-04-14 12:21:00,532.5950,533.8500
META,2025-04-14 12:22:00,533.9900,533.0228
META,2025-04-14 12:23:00,532.6500,531.6800
