STOCK_SYMBOL,DATE_TIME,OPEN_PRICE,CLOSE_PRICE
IBM,2025-01-14 09:30:00,218.0000,217.7200
IBM,2025-01-14 09:30:30,217.6800,217.6500
IBM,2025-01-14 09:31:00,217.5200,217.4050
IBM,2025-01-14 09:31:30,217.3950,217.0700
IBM,2025-01-14 09:32:00,216.8600,216.9000
IBM,2025-01-14 09:32:30,216.5000,216.4750
IBM,2025-01-14 09:33:00,216.5100,216.6100
IBM,2025-01-14 09:33:30,216.4700,215.8050
IBM,2025-01-14 09:34:00,216.0300,215.6000
IBM,2025-01-14 09:34:30,215.6000,215.4220
IBM,2025-01-14 09:35:00,215.5450,215.1801
IBM,2025-01-14 09:35:30,215.1900,214.7450
IBM,2025-01-14 09:36:00,215.0200,215.4350
IBM,2025-01-14 09:36:30,215.4260,215.3079
IBM,2025-01-14 09:37:00,215.4294,215.5300
IBM,2025-01-14 09:37:30,215.4100,215.6400
IBM,2025-01-14 09:38:00,215.5950,216.0800
IBM,2025-01-14 09:38:30,216.1375,216.2600
IBM,2025-01-14 09:39:00,216.2800,216.2000
IBM,2025-01-14 09:39:30,216.2600,216.1950
IBM,2025-01-14 09:40:00,216.2000,216.3200
IBM,2025-01-14 09:40:30,216.3300,216.4825
IBM,2025-01-14 09:41:00,216.3800,216.2275
IBM,2025-01-14 09:41:30,216.1850,216.3600
IBM,2025-01-14 09:42:00,216.6850,216.7500
IBM,2025-01-14 09:42:30,216.9000,216.8950
IBM,2025-01-14 09:43:00,216.9275,216.6000
IBM,2025-01-14 09:43:30,216.7300,216.7950
IBM,2025-01-14 09:44:00,216.8700,216.9800
IBM,2025-01-14 09:44:30,216.9200,216.9450
IBM,2025-01-14 09:45:00,216.9750,217.1800
IBM,2025-01-14 09:45:30,217.0950,217.0340
IBM,2025-01-14 09:46:00,217.0300,217.0300
IBM,2025-01-14 09:46:30,217.3500,217.0800
IBM,2025-01-14 09:47:00,217.0800,217.1050
IBM,2025-01-14 09:47:30,217.0200,217.1200
IBM,2025-01-14 09:48:00,217.0200,217.0600
IBM,2025-01-14 09:48:30,217.0550,217.1200
IBM,2025-01-14 09:49:00,217.1600,216.9400
IBM,2025-01-14 09:49:30,217.0450,216.9200
