,STOCK_SYMBOL,OPEN_PRICE,CLOSE_PRICE,PREDICTED_PRICE
2025-04-14 09:30:00,AAPL,211.44,211.98,
2025-04-14 09:31:00,AAPL,212.0,210.5399,
2025-04-14 09:32:00,AAPL,210.49,209.3302,
2025-04-14 09:33:00,AAPL,209.355,209.072,
2025-04-14 09:34:00,AAPL,209.03,208.6302,
2025-04-14 09:35:00,AAPL,208.68,208.66,
2025-04-14 09:36:00,AAPL,208.67,208.84,
2025-04-14 09:37:00,AAPL,208.85,208.225,
2025-04-14 09:38:00,AAPL,208.225,208.77,
2025-04-14 09:39:00,AAPL,208.78,208.51,
2025-04-14 09:40:00,AAPL,208.53,206.74,
2025-04-14 09:41:00,AAPL,206.76,206.585,
2025-04-14 09:42:00,AAPL,206.58,206.7,
2025-04-14 09:43:00,AAPL,206.73,206.2107,
2025-04-14 09:44:00,AAPL,206.21,207.0296,
2025-04-14 09:45:00,AAPL,207.035,207.08,
2025-04-14 09:46:00,AAPL,207.08,206.99,
2025-04-14 09:47:00,AAPL,206.995,207.11,
2025-04-14 09:48:00,AAPL,207.115,207.7175,
2025-04-14 09:49:00,AAPL,207.6756,207.84,
2025-04-14 09:50:00,AAPL,207.815,207.405,
2025-04-14 09:51:00,AAPL,207.395,206.85,
2025-04-14 09:52:00,AAPL,206.838,206.56,
2025-04-14 09:53:00,AAPL,206.54,207.01,
2025-04-14 09:54:00,AAPL,206.99,207.185,
2025-04-14 09:55:00,AAPL,207.2,207.37,
2025-04-14 09:56:00,AAPL,207.39,206.8319,
2025-04-14 09:57:00,AAPL,206.8,207.155,
2025-04-14 09:58:00,AAPL,207.18,207.0,
2025-04-14 09:59:00,AAPL,206.9701,206.76,
2025-04-14 10:00:00,AAPL,206.795,206.4349,
2025-04-14 10:01:00,AAPL,206.4337,206.855,
2025-04-14 10:02:00,AAPL,206.8001,207.0895,
2025-04-14 10:03:00,AAPL,207.07,207.0676,
2025-04-14 10:04:00,AAPL,207.04,206.96,
2025-04-14 10:05:00,AAPL,206.975,207.63,
2025-04-14 10:06:00,AAPL,207.635,206.9509,
2025-04-14 10:07:00,AAPL,206.985,206.84,
2025-04-14 10:08:00,AAPL,206.92,206.67,
2025-04-14 10:09:00,AAPL,206.6899,206.25,
2025-04-14 10:10:00,AAPL,206.26,205.541,
2025-04-14 10:11:00,AAPL,205.52,205.2002,
2025-04-14 10:12:00,AAPL,205.21,205.42,
2025-04-14 10:13:00,AAPL,205.41,205.555,
2025-04-14 10:14:00,AAPL,205.59,205.215,
2025-04-14 10:15:00,AAPL,205.24,205.265,
2025-04-14 10:16:00,AAPL,205.27,205.405,
2025-04-14 10:17:00,AAPL,205.385,204.7,
2025-04-14 10:18:00,AAPL,204.705,205.125,
2025-04-14 10:19:00,AAPL,205.14,205.55,
2025-04-14 10:20:00,AAPL,205.5317,205.35,
2025-04-14 10:21:00,AAPL,205.32,205.37,
2025-04-14 10:22:00,AAPL,205.37,205.075,
2025-04-14 10:23:00,AAPL,205.05,204.96,
2025-04-14 10:24:00,AAPL,204.935,205.0,
2025-04-14 10:25:00,AAPL,205.03,205.165,
2025-04-14 10:26:00,AAPL,205.165,205.3515,
2025-04-14 10:27:00,AAPL,205.354,205.1316,
2025-04-14 10:28:00,AAPL,205.115,205.145,
2025-04-14 10:29:00,AAPL,205.1366,204.75,
2025-04-14 10:30:00,AAPL,204.8,204.96,204.55442810058594
2025-04-14 10:31:00,AAPL,204.94,205.2175,204.532470703125
2025-04-14 10:32:00,AAPL,205.225,204.93,204.53089904785156
2025-04-14 10:33:00,AAPL,204.95,205.055,204.52099609375
2025-04-14 10:34:00,AAPL,205.04,204.945,204.51637268066406
2025-04-14 10:35:00,AAPL,204.95,205.38,204.50735473632812
2025-04-14 10:36:00,AAPL,205.4,205.61,204.52830505371094
2025-04-14 10:37:00,AAPL,205.63,205.59,204.5825958251953
2025-04-14 10:38:00,AAPL,205.61,205.555,204.6520538330078
2025-04-14 10:39:00,AAPL,205.56,205.3763,204.7236785888672
2025-04-14 10:40:00,AAPL,205.4,205.29,204.77877807617188
2025-04-14 10:41:00,AAPL,205.27,205.7897,204.81382751464844
2025-04-14 10:42:00,AAPL,205.8,206.105,204.87060546875
2025-04-14 10:43:00,AAPL,206.105,205.8,204.9589080810547
2025-04-14 10:44:00,AAPL,205.815,205.67,205.03770446777344
2025-04-14 10:45:00,AAPL,205.685,205.791,205.09596252441406
2025-04-14 10:46:00,AAPL,205.805,205.525,205.14634704589844
2025-04-14 10:47:00,AAPL,205.5444,205.835,205.16847229003906
2025-04-14 10:48:00,AAPL,205.845,205.96,205.1943817138672
2025-04-14 10:49:00,AAPL,205.97,205.8342,205.22911071777344
2025-04-14 10:50:00,AAPL,205.86,205.72,205.25721740722656
2025-04-14 10:51:00,AAPL,205.715,205.75,205.27081298828125
2025-04-14 10:52:00,AAPL,205.7519,205.55,205.2766571044922
2025-04-14 10:53:00,AAPL,205.53,205.5,205.26235961914062
2025-04-14 10:54:00,AAPL,205.495,205.605,205.23306274414062
2025-04-14 10:55:00,AAPL,205.605,205.4204,205.2040252685547
2025-04-14 10:56:00,AAPL,205.42,205.005,205.16336059570312
2025-04-14 10:57:00,AAPL,204.9925,205.1261,205.088134765625
2025-04-14 10:58:00,AAPL,205.1795,205.135,205.00621032714844
2025-04-14 10:59:00,AAPL,205.148,205.2446,204.92620849609375
2025-04-14 11:00:00,AAPL,205.22,205.19,204.8609161376953
2025-04-14 11:01:00,AAPL,205.17,205.335,204.80516052246094
2025-04-14 11:02:00,AAPL,205.32,205.225,204.7699432373047
2025-04-14 11:03:00,AAPL,205.225,204.84,204.74179077148438
2025-04-14 11:04:00,AAPL,204.8201,204.805,204.69232177734375
2025-04-14 11:05:00,AAPL,204.805,204.68,204.63136291503906
2025-04-14 11:06:00,AAPL,204.67,204.26,204.55874633789062
2025-04-14 11:07:00,AAPL,204.25,204.3592,204.45376586914062
2025-04-14 11:08:00,AAPL,204.355,204.27,204.34420776367188
2025-04-14 11:09:00,AAPL,204.265,204.3099,204.23300170898438
2025-04-14 11:10:00,AAPL,204.27,204.6891,204.1318817138672
2025-04-14 11:11:00,AAPL,204.68,204.9099,204.0718994140625
2025-04-14 11:12:00,AAPL,204.9067,204.88,204.05747985839844
2025-04-14 11:13:00,AAPL,204.89,204.87,204.07020568847656
2025-04-14 11:14:00,AAPL,204.875,204.78,204.09866333007812
2025-04-14 11:15:00,AAPL,204.78,204.72,204.12879943847656
2025-04-14 11:16:00,AAPL,204.71,204.1817,204.154052734375
2025-04-14 11:17:00,AAPL,204.1844,204.36,204.1357421875
2025-04-14 11:18:00,AAPL,204.355,204.64,204.1058349609375
2025-04-14 11:19:00,AAPL,204.64,204.95,204.09120178222656
2025-04-14 11:20:00,AAPL,204.95,204.48,204.1093292236328
2025-04-14 11:21:00,AAPL,204.515,204.5694,204.11192321777344
2025-04-14 11:22:00,AAPL,204.57,204.74,204.11209106445312
2025-04-14 11:23:00,AAPL,204.7589,204.25,204.12318420410156
2025-04-14 11:24:00,AAPL,204.2487,204.37,204.10438537597656
2025-04-14 11:25:00,AAPL,204.4,204.255,204.0780029296875
2025-04-14 11:26:00,AAPL,204.255,203.88,204.04025268554688
2025-04-14 11:27:00,AAPL,203.9,203.63,203.97097778320312
2025-04-14 11:28:00,AAPL,203.62,203.691,203.86936950683594
2025-04-14 11:29:00,AAPL,203.72,203.6,203.759765625
2025-04-14 11:30:00,AAPL,203.65,203.56,203.64613342285156
2025-04-14 11:31:00,AAPL,203.5825,203.8316,203.5352783203125
2025-04-14 11:32:00,AAPL,203.79,203.87,203.4539031982422
2025-04-14 11:33:00,AAPL,203.87,203.6801,203.3990936279297
2025-04-14 11:34:00,AAPL,203.68,203.66,203.35098266601562
2025-04-14 11:35:00,AAPL,203.68,203.0733,203.30963134765625
2025-04-14 11:36:00,AAPL,203.1199,203.0929,203.2329864501953
2025-04-14 11:37:00,AAPL,203.09,202.805,203.14248657226562
2025-04-14 11:38:00,AAPL,202.8,202.61,203.02908325195312
2025-04-14 11:39:00,AAPL,202.61,202.3296,202.8959503173828
2025-04-14 11:40:00,AAPL,202.29,202.45,202.7400665283203
2025-04-14 11:41:00,AAPL,202.445,202.615,202.5904541015625
2025-04-14 11:42:00,AAPL,202.61,202.585,202.46737670898438
2025-04-14 11:43:00,AAPL,202.575,202.638,202.36741638183594
2025-04-14 11:44:00,AAPL,202.63,202.97,202.2931671142578
2025-04-14 11:45:00,AAPL,202.96,202.41,202.2646942138672
2025-04-14 11:46:00,AAPL,202.37,202.045,202.2261505126953
2025-04-14 11:47:00,AAPL,202.03,202.17,202.15878295898438
2025-04-14 11:48:00,AAPL,202.1,201.9396,202.0884552001953
2025-04-14 11:49:00,AAPL,201.9,201.915,202.00482177734375
