ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-04-24 20:00:30,293.8152380588133,282.60710087104206,285.4106894688934,293.8152380588133,293.8152380588133,-9.812787507139992,-9.812787507139992,-9.812787507139992,-9.812787507139992,-9.812787507139992,-9.812787507139992,0.0,0.0,0.0,284.0024505516733
2025-04-24 20:01:30,293.8154822551914,282.6011039740064,285.4373103079161,293.8154822551914,293.8154822551914,-9.80160914443517,-9.80160914443517,-9.80160914443517,-9.80160914443517,-9.80160914443517,-9.80160914443517,0.0,0.0,0.0,284.0138731107562
2025-04-24 20:02:30,293.8157264515695,282.59174543514246,285.5417066129803,293.8157264515695,293.8157264515695,-9.789871385087896,-9.789871385087896,-9.789871385087896,-9.789871385087896,-9.789871385087896,-9.789871385087896,0.0,0.0,0.0,284.0258550664816
2025-04-24 20:03:30,293.81597064794767,282.5593873952829,285.4075160900725,293.81597064794767,293.81597064794767,-9.77756142696737,-9.77756142696737,-9.77756142696737,-9.77756142696737,-9.77756142696737,-9.77756142696737,0.0,0.0,0.0,284.03840922098027
2025-04-24 20:04:30,293.8162148443257,282.62254381965516,285.4231353335604,293.8162148443257,293.8162148443257,-9.764666389887468,-9.764666389887468,-9.764666389887468,-9.764666389887468,-9.764666389887468,-9.764666389887468,0.0,0.0,0.0,284.05154845443826
2025-04-24 20:05:30,293.8164590407038,282.6748123787207,285.4473023677043,293.8164590407038,293.8164590407038,-9.751173321060298,-9.751173321060298,-9.751173321060298,-9.751173321060298,-9.751173321060298,-9.751173321060298,0.0,0.0,0.0,284.0652857196435
2025-04-24 20:06:30,293.8167032370819,282.65035909529047,285.40795771001285,293.8167032370819,293.8167032370819,-9.737069196177604,-9.737069196177604,-9.737069196177604,-9.737069196177604,-9.737069196177604,-9.737069196177604,0.0,0.0,0.0,284.0796340409043
2025-04-24 20:07:30,293.81694743346003,282.7184827449409,285.50707716856664,293.81694743346003,293.81694743346003,-9.722340925385208,-9.722340925385208,-9.722340925385208,-9.722340925385208,-9.722340925385208,-9.722340925385208,0.0,0.0,0.0,284.09460650807483
2025-04-24 20:08:30,293.8171916298381,282.77350205761513,285.37739445353685,293.8171916298381,293.8171916298381,-9.70697535536201,-9.70697535536201,-9.70697535536201,-9.70697535536201,-9.70697535536201,-9.70697535536201,0.0,0.0,0.0,284.11021627447604
2025-04-24 20:09:30,293.8174358262162,282.79294295142125,285.4902541411356,293.8174358262162,293.8174358262162,-9.690959271783731,-9.690959271783731,-9.690959271783731,-9.690959271783731,-9.690959271783731,-9.690959271783731,0.0,0.0,0.0,284.12647655443243
